DriverNumber,Driver,TeamName,RacesEntered,DNFs,DNF_Rate,MeanPositionDelta,MedianPositionDelta,FinishCount,FinishRate,TotalRacePoints,PointsPerRace,MeanRacePace,MedianRacePace,MeanQualifyingPace,MedianQualifyingPace,MedianRaceIQR,SprintStarts,SprintFinishes,SprintFinishRate,SprintDNFs,MeanSprintPositionDelta,MedianSprintPositionDelta,SprintPositionDeltaIQR,TotalSprintPoints,SprintPointsPerSprint,TotalPoints,SprintPointShare,NormalizedTotalPoints,HeadshotUrl
1,VER,Red Bull Racing,24,1,0.041666667,0.391304348,0,23,0.958333333,389,16.20833333,89.18928261,90.686,82.4555,80.929,1.434,6,6,1,0,-1.5,0.5,2.5,32,5.333333333,421,0.076009501,17.54166667,f1_headshot/ver.png
4,NOR,McLaren,24,2,0.083333333,0.666666667,0,21,0.875,394,16.41666667,88.1295625,89.089,82.32433333,80.9515,1.59625,6,5,1.2,1,0,0,0,29,4.833333333,423,0.06855792,17.625,f1_headshot/norris.png
5,BOR,Kick Sauber,24,5,0.208333333,0.421052632,0,19,0.791666667,19,0.791666667,89.56664286,90.058,84.40243478,82.874,1.49275,6,5,1.2,1,2.2,2,2,0,0,19,0,0.791666667,f1_headshot/bortleto.png
6,HAD,Racing Bulls,24,3,0.125,-1.047619048,-1,21,0.875,50,2.083333333,89.29332609,90.197,82.57365217,80.114,1.60875,6,6,1,0,0.5,0.5,2.5,1,0.166666667,51,0.019607843,2.125,f1_headshot/hadjar.png
7,DOO,Alpine,6,2,0.333333333,1.5,2,4,0.666666667,0,0,96.5025,97.0155,87.409,88.808,1.294375,2,2,1,0,-1.5,-1.5,2.5,0,0,0,,0,f1_headshot/doo.png
10,GAS,Alpine,24,2,0.083333333,-0.523809524,-1,21,0.875,20,0.833333333,89.58334783,89.8815,83.4475,81.896,1.258,6,5,1.2,1,3.8,5,2,2,0.333333333,22,0.090909091,0.916666667,f1_headshot/gas.png
12,ANT,Mercedes,24,4,0.166666667,0.4,0,20,0.833333333,135,5.625,90.013,91.299,83.19004167,81.37,1.446,6,6,1,0,0,0.5,1.75,15,2.5,150,0.1,6.25,f1_headshot/kimi.png
14,ALO,Aston Martin,24,5,0.208333333,-0.157894737,0,19,0.791666667,51,2.125,89.17334783,89.968,83.14066667,81.54,1.42075,6,4,1.5,2,-0.75,-0.5,1.75,5,0.833333333,56,0.089285714,2.333333333,f1_headshot/alonso.png
16,LEC,Ferrari,24,2,0.083333333,0.428571429,0,21,0.875,225,9.375,89.166,91.355,82.70570833,81.5365,1.43475,6,5,1.2,1,0.6,0,4,17,2.833333333,242,0.070247934,10.08333333,f1_headshot/lec.png
18,STR,Aston Martin,23,2,0.086956522,2.380952381,2,21,0.913043478,29,1.260869565,89.77772727,91.18325,84.92736364,84.8005,1.57425,6,5,1.2,1,2,1,4,4,0.666666667,33,0.121212121,1.434782609,f1_headshot/stroll.png
22,TSU,Racing Bulls,2,0,0,-7,-7,2,1,0,0,94.9255,94.9255,83.454,83.454,1.6955,1,1,1,0,2,2,0,3,3,3,1,1.5,f1_headshot/tsu.png
22,TSU,Red Bull Racing,22,1,0.045454545,1.380952381,1,21,0.954545455,21,0.954545455,88.76002381,86.579,83.91195238,83.034,1.469,5,5,1,0,6.4,6,10,9,1.8,30,0.3,1.363636364,f1_headshot/tsu.png
23,ALB,Williams,24,4,0.166666667,3.25,3,20,0.833333333,70,2.916666667,89.35275,90.535,83.60804167,82.0225,1.60725,6,6,1,0,-1.166666667,-1,2.75,3,0.5,73,0.04109589,3.041666667,f1_headshot/albon.png
27,HUL,Kick Sauber,24,2,0.083333333,3.65,3,20,0.833333333,51,2.125,90.05528261,92.617,83.66054167,81.9015,1.524,6,6,1,0,-2.333333333,-1.5,4.75,0,0,51,0,2.125,f1_headshot/hulkenberg.png
